pos_ft,acceleration
1.75242,0.0932162
1.76224,0.0932162
1.76715,0
1.77205,0.085937
1.78187,0.072517688
1.78678,0
1.79169,0.0534272
1.80151,0.0534272
1.80642,0
1.81132,0.035600375
1.82114,0.02218125
1.82605,0.02218125
1.83096,0.020262
1.84078,0.020262
1.84569,0.014262
1.8555,0
1.86041,0.014902
1.89968,0.066338
1.9095,0.074657556
1.91441,0
1.92423,0.083489
1.92913,0.083489
1.93895,0.085345
1.94386,0.084470333
1.95368,0.082199857
1.95859,0.072578
1.9684,0.072258
1.97331,0.067138
1.98313,0.067138
1.98804,0.0600189
1.99786,0.0600189
2.00277,0.0600189
2.01258,0
2.01749,0.055779
2.02731,0.053839
2.03222,0.051992333
2.04204,0.056019
2.04694,0.056019
2.05676,0
2.06658,0
2.07149,0
2.08131,0
2.08621,0
2.09603,0
2.10585,0.0668341
2.11076,0.0668341
2.12057,0.0812651
2.12548,0.098152
2.1353,0.0862568
2.14512,0.0747376
2.15003,0.0747376
2.15984,0
2.16966,0
2.17457,0
2.18439,0.068498
2.19421,0.062676333
2.19911,0.0612827
2.20893,0
2.21875,0
2.22857,0
2.23348,0
2.24329,0.066498
2.25311,0.069922
2.26293,0.07505775
2.26784,0.083937
2.27765,0.083937
2.34147,0.127374
2.34638,0
2.35619,0.119507667
2.36601,0.113895
2.37583,0.1027515
2.38565,0.0872006
2.39546,0.0772335
2.40528,0.0772335
2.41019,0
2.42001,0.07349
2.42983,0.07349
2.43964,0
2.44946,0.074498
2.45928,0.0879046
2.4691,0
2.47891,0.092896
2.48873,0.097627429
2.49855,0
2.50837,0.111367
2.51818,0.111367
2.528,0
2.53782,0.1188675
2.54764,0.121214
2.55745,0.121854
2.56727,0.11931835
2.57709,0.0972479
2.58691,0
2.59672,0.089537
2.60654,0.089537
2.61636,0.0664342
2.62617,0.0493795
2.63599,0.0493795
2.64581,0.0493795
2.65563,0.0359563
2.66544,0.0359563
2.67526,0.0359563
2.68508,0
2.6949,0.0502114
2.70962,0.0502114
2.71944,0
2.72926,0.077324
2.73908,0.091730714
2.74889,0
2.75871,0.1151507
2.76853,0.1341093
2.78325,0
2.79307,0.140813
2.80289,0.139645
2.81271,0.1355171
2.84707,0.1191024
2.85689,0
2.8667,0.1047034
2.88143,0.1047034
2.89125,0
2.90106,0.100912
2.91579,0.098784
2.92561,0.098784
2.93543,0.099136
2.95015,0.098584889
2.95997,0
2.96979,0.100736
2.98451,0.100736
2.99433,0.110535
3.00415,0.110535
3.01887,0.1163027
3.02869,0.122414
3.03851,0
3.05324,0.12427
3.06305,0.12427
3.07778,0
3.0876,0.120014
3.10232,0.114761667
3.11214,0
3.12196,0.110895
3.13668,0.110895
3.1465,0.103215667
3.16123,0.0913603
3.17104,0.072962
3.18577,0.072962
3.19559,0
3.21031,0.0777294
3.22013,0.0777294
3.23486,0.0899684
3.24958,0.0899684
3.2594,0.1061113
3.27413,0
3.28395,0
3.29867,0.1208463
3.30849,0.1208463
3.32322,0
3.33794,0.128814
3.34776,0.134077
3.36249,0.128153875
3.37721,0.1051194
3.38703,0
3.40176,0.095088
3.41648,0.095088
3.4263,0
3.44103,0
3.51957,0
3.53429,0.070098
3.54902,0.065263714
3.56374,0
3.57356,0.05074745
3.58829,0.05074745
3.60301,0.05074745
3.61774,0.04206
3.63247,0.04066
3.64228,0
3.65701,0.039868889
3.67174,0.040012727
3.68646,0
3.70119,0
3.71591,0.036996
3.73064,0.036996
3.74046,0.027606455
3.75518,0.027606455
3.76991,0.014875333
3.78464,0
3.79936,0.007196
3.81409,0.000583
3.82882,0.000583
3.84354,-0.001897
3.85827,-0.003977
3.87299,-0.003977
3.88772,0.0080064
3.90245,0.0080064
3.91717,0
3.9319,0.022501
3.94663,0.034642778
3.96135,0
3.97608,0
3.9908,0.04666
4.00553,0.093722833
4.02026,0.093722833
4.03498,0.104095
4.04971,0.123062889
4.06444,0
4.07916,0.122814
4.09389,0.1177745
4.10861,0.1177745
4.12825,0.1044715
4.14297,0.1044715
4.1577,0
4.17243,0.093896
4.18715,0.093936
4.20188,0
4.21661,0.097104
4.23133,0.101322667
